time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/1/17 0:05,124.788,7.788,6
6/1/17 1:05,123.295,7.691,6
6/1/17 2:05,125.389,7.838,6
6/1/17 3:05,122.419,7.656,6
6/1/17 4:05,153.893,9.595,6
6/1/17 5:05,147.5,9.285,6
6/1/17 6:05,103.165,6.494,6
6/1/17 6:57,99.651,6.292,6
6/1/17 8:05,124.014,7.776,6
6/1/17 9:05,133.175,8.305,6
6/1/17 10:05,107.848,6.911,6
6/1/17 11:05,116.973,7.405,6
6/1/17 12:05,118.48,7.464,6
6/1/17 13:05,118.444,7.426,6
6/1/17 14:05,111.544,6.98,6
6/1/17 15:05,110.181,6.917,6
6/1/17 16:05,101.948,6.425,6
6/1/17 16:57,110.612,6.941,6
6/1/17 18:05,88.048,5.575,6
6/1/17 19:05,81.106,5.165,6
6/1/17 20:05,80.026,5.147,6
6/1/17 21:05,101.783,6.394,6
6/1/17 22:05,111.204,6.993,6
6/1/17 23:05,106.256,6.692,6
6/2/17 0:05,107.085,6.715,6
6/2/17 1:05,110.594,6.894,6
6/2/17 2:05,103.516,6.513,6
6/2/17 2:57,104.084,6.508,6
6/2/17 4:05,103.344,6.449,6
6/2/17 5:05,103.24,6.484,6
6/2/17 6:05,105.751,6.619,6
6/2/17 7:05,104.248,6.474,6
6/2/17 8:05,101.561,6.319,6
6/2/17 9:05,103.589,6.478,6
6/2/17 10:05,105.391,6.57,6
6/2/17 11:05,107.181,6.671,6
6/2/17 12:05,107.377,6.683,6
6/2/17 12:57,108.141,6.732,6
6/2/17 14:05,108.658,6.738,6
6/2/17 15:05,110.692,6.845,6
6/2/17 16:05,112.373,6.94,6
6/2/17 17:05,115.538,7.121,6
6/2/17 18:05,109.442,6.723,6
6/2/17 19:05,108.987,6.692,6
6/2/17 20:05,109.732,6.758,6
6/2/17 21:05,108.561,6.674,6
6/2/17 22:05,107.12,6.599,6
6/2/17 23:05,107.188,6.606,6
6/3/17 0:05,106.509,6.568,6
6/3/17 1:05,107.745,6.62,6
6/3/17 2:05,106.818,6.566,6
6/3/17 3:05,107.036,6.573,6
6/3/17 4:05,106.433,6.542,6
6/3/17 5:05,105.5,6.49,6
6/3/17 6:05,106.866,6.633,6
6/3/17 7:05,106.704,6.584,6
6/3/17 8:05,108.831,6.71,6
6/3/17 9:05,109.315,6.72,6
6/3/17 10:05,109.001,6.704,6
6/3/17 11:05,109.38,6.727,6
6/3/17 12:05,110.701,6.82,6
6/3/17 13:05,112.238,6.877,6
6/3/17 14:05,114.187,6.956,6
6/3/17 15:05,111.451,6.814,6
6/3/17 16:05,114.519,7.028,6
6/3/17 17:05,114.433,7.006,6
6/3/17 17:57,114.877,7.136,6
6/3/17 19:05,105.016,6.586,6
6/3/17 20:05,107.056,6.688,6
6/3/17 21:05,110.399,6.837,6
6/3/17 22:05,114.162,6.945,6
6/3/17 23:05,110.001,6.796,6
6/4/17 0:05,115.865,7.059,6
6/4/17 1:05,120.227,7.322,6
6/4/17 1:57,110.522,6.789,6
6/4/17 3:05,113.01,6.921,6
6/4/17 4:05,114.482,7.054,6
6/4/17 5:05,114.577,7.085,6
6/4/17 6:05,148.524,9.272,6
6/4/17 7:05,99.446,6.27,6
6/4/17 8:05,112.39,7,6
6/4/17 9:05,113.51,7.04,6
6/4/17 10:05,112.811,6.917,6
6/4/17 11:05,105.676,6.687,6
6/4/17 12:05,99.714,6.323,6
6/4/17 13:05,100.321,6.307,6
6/4/17 14:05,112.574,7.033,6
6/4/17 15:05,97.248,6.135,6
6/4/17 16:05,91.036,5.783,6
6/4/17 17:05,90.842,5.768,6
6/4/17 18:05,92.383,5.861,6
6/4/17 19:05,92.904,5.896,6
6/4/17 20:05,92.318,5.855,6
6/4/17 21:05,101.911,6.395,6
6/4/17 22:05,88.584,5.613,6
6/4/17 23:05,88.095,5.592,6
6/5/17 0:05,84.501,5.355,6
6/5/17 1:05,86.26,5.451,6
6/5/17 2:05,90.459,5.77,6
6/5/17 3:05,90.789,5.773,6
6/5/17 4:05,85.71,5.438,6
6/5/17 5:05,73.333,4.693,6
6/5/17 6:05,73.643,4.702,6
6/5/17 7:05,68.76,4.41,6
6/5/17 8:05,90.751,5.733,6
6/5/17 9:05,70.09,4.477,6
6/5/17 10:05,73.367,4.671,6
6/5/17 11:05,90.337,5.681,6
6/5/17 12:05,88.639,5.619,6
6/5/17 13:05,96.988,6.055,6
6/5/17 14:05,79.78,5.046,6
6/5/17 15:05,65.384,4.178,6
6/5/17 16:05,74.65,4.753,6
6/5/17 17:05,80.864,5.136,6
6/5/17 18:05,84.083,5.311,6
6/5/17 19:05,78.3,4.962,6
6/5/17 20:05,80.352,5.092,6
6/5/17 21:05,79.325,5.027,6
6/5/17 22:05,77.645,4.921,6
6/5/17 23:05,81.491,5.142,6
6/6/17 0:05,82.436,5.184,6
6/6/17 1:05,82.634,5.2,6
6/6/17 2:05,77.838,4.931,6
6/6/17 3:05,75.867,4.83,6
6/6/17 4:05,93.188,5.872,6
6/6/17 5:05,108.018,6.744,6
6/6/17 6:05,109.244,6.816,6
6/6/17 7:05,70.064,4.507,6
6/6/17 8:05,106.077,6.797,6
6/6/17 9:05,69.544,4.475,6
6/6/17 10:05,67.17,4.334,6
6/6/17 11:05,83.622,5.312,6
6/6/17 12:05,88.94,5.609,6
6/6/17 13:05,99.073,6.176,6
