time[YYYY-MM-DD hh:mm:ss PST], fluorescence
5/29/16 2:45,6.911
5/29/16 2:55,8.376
5/29/16 3:05,7.509
5/29/16 3:15,7.631
5/29/16 3:25,8.022
5/29/16 3:35,8.486
5/29/16 3:45,7.216
5/29/16 3:55,7.277
5/29/16 4:05,7.558
5/29/16 4:15,7.875
5/29/16 4:25,7.46
5/29/16 4:35,7.436
5/29/16 4:45,7.473
5/29/16 4:55,7.192
5/29/16 5:05,6.813
5/29/16 5:15,6.789
5/29/16 5:25,5.995
5/29/16 5:35,6.093
5/29/16 5:45,6.679
5/29/16 5:55,6.569
5/29/16 6:05,5.934
5/29/16 6:15,7.033
5/29/16 6:25,7.204
5/29/16 6:35,6.96
5/29/16 6:45,7.497
5/29/16 6:55,7.827
5/29/16 7:05,7.045
5/29/16 7:15,8.266
5/29/16 7:25,6.142
5/29/16 7:35,6.032
5/29/16 7:45,4.969
5/29/16 7:55,4.31
5/29/16 8:05,3.59
5/29/16 8:15,3.81
5/29/16 8:25,3.187
5/29/16 8:35,3.98
5/29/16 8:45,3.712
5/29/16 8:56,3.663
5/29/16 9:05,3.846
5/29/16 9:15,4.444
5/29/16 9:25,3.541
5/29/16 9:35,3.053
5/29/16 9:45,3.907
5/29/16 9:55,3.614
5/29/16 10:05,3.175
5/29/16 10:15,4.396
5/29/16 10:25,4.737
5/29/16 10:35,4.444
5/29/16 10:45,3.126
5/29/16 10:55,4.127
5/29/16 11:05,3.419
5/29/16 11:15,2.967
5/29/16 11:25,2.601
5/29/16 11:35,3.04
5/29/16 11:45,2.955
5/29/16 11:55,2.759
5/29/16 12:05,2.698
5/29/16 12:15,3.004
5/29/16 12:25,2.906
5/29/16 12:35,2.906
5/29/16 12:45,3.297
5/29/16 12:55,3.639
5/29/16 13:05,3.248
5/29/16 13:15,3.04
5/29/16 13:25,3.199
5/29/16 13:35,3.138
5/29/16 13:45,2.991
5/29/16 13:55,3.382
5/29/16 14:05,3.529
5/29/16 14:15,3.504
5/29/16 14:25,3.578
5/29/16 14:35,3.248
5/29/16 14:45,3.431
5/29/16 14:55,3.37
5/29/16 15:05,3.602
5/29/16 15:15,3.724
5/29/16 15:25,3.846
5/29/16 15:35,3.712
5/29/16 15:45,3.48
5/29/16 15:55,3.516
5/29/16 16:05,3.492
5/29/16 16:15,4.225
5/29/16 16:25,3.639
5/29/16 16:35,4.127
5/29/16 16:45,4.664
5/29/16 16:55,4.237
5/29/16 17:05,4.579
5/29/16 17:15,5.629
5/29/16 17:25,5.568
5/29/16 17:35,6.606
5/29/16 17:45,6.789
5/29/16 17:55,6.532
5/29/16 18:05,6.313
5/29/16 18:15,5.971
5/29/16 18:25,6.508
5/29/16 18:35,7.155
5/29/16 18:45,7.082
5/29/16 18:55,7.485
5/29/16 19:05,6.899
5/29/16 19:15,7.656
5/29/16 19:25,7.436
5/29/16 19:35,6.886
5/29/16 19:45,7.473
5/29/16 19:55,7.814
5/29/16 20:05,8.645
5/29/16 20:15,8.706
5/29/16 20:25,9.634
5/29/16 20:35,9.182
5/29/16 20:45,9.109
5/29/16 20:55,8.498
5/29/16 21:05,7.277
5/29/16 21:15,8.083
5/29/16 21:25,7.228
5/29/16 21:35,8.559
5/29/16 21:45,8.327
5/29/16 21:55,7.973
5/29/16 22:05,8.278
5/29/16 22:15,8.608
5/29/16 22:25,8.608
5/29/16 22:35,8.632
5/29/16 22:45,8.51
