time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/27/18 17:00,75.754,4.773,6
6/27/18 18:00,86.077,5.398,6
6/27/18 19:00,49.889,3.198,6
6/27/18 20:00,53.822,3.442,6
6/27/18 21:00,44.741,2.885,6
6/27/18 22:00,76.906,4.838,6
6/27/18 23:00,54.979,3.511,6
6/28/18 0:00,66.297,4.202,6
6/28/18 1:00,64.897,4.113,6
6/28/18 2:00,81.888,5.126,6
6/28/18 3:00,75.599,4.749,6
6/28/18 4:00,75.108,4.727,6
6/28/18 5:00,68.982,4.357,6
6/28/18 6:00,63.109,4.018,6
6/28/18 7:00,53.398,3.434,6
6/28/18 8:00,49.194,3.166,6
6/28/18 9:00,59.845,3.832,6
6/28/18 10:00,59.39,3.799,6
6/28/18 11:00,43.581,2.814,6
6/28/18 12:00,40.23,2.609,6
6/28/18 13:00,61.882,3.937,6
6/28/18 14:00,75.585,4.769,6
6/28/18 15:00,86.432,5.422,6
6/28/18 16:00,84.917,5.336,6
6/28/18 17:00,82.052,5.147,6
6/28/18 18:00,77.371,4.864,6
6/28/18 19:00,66.367,4.197,6
6/28/18 20:00,48.592,3.113,6
6/28/18 21:00,43.684,2.806,6
6/28/18 22:00,50.483,3.243,6
6/28/18 23:00,54.193,3.452,6
6/29/18 0:00,44.461,2.854,6
6/29/18 1:00,52.261,3.337,6
6/29/18 2:00,50.264,3.213,6
6/29/18 3:00,67.727,4.288,6
6/29/18 4:00,-26.57,-1.669,6
6/29/18 5:00,66.437,4.208,6
6/29/18 6:00,65.801,4.174,6
6/29/18 7:00,51.689,3.305,6
6/29/18 8:00,51.381,3.299,6
6/29/18 9:00,65.542,4.156,6
6/29/18 9:45,52.581,3.356,6
6/29/18 10:45,56.797,3.63,6
6/29/18 11:45,38.472,2.487,6
6/29/18 12:45,38.871,2.519,6
6/29/18 13:45,40.866,2.641,6
6/29/18 14:45,40.743,2.636,6
6/29/18 15:45,97.394,6.078,6
6/29/18 16:45,94.822,5.928,6
6/29/18 17:45,84.923,5.338,6
6/29/18 18:45,75.594,4.777,6
6/29/18 19:45,58.219,3.721,6
6/29/18 20:45,53.887,3.496,6
6/29/18 21:45,48.261,3.133,6
6/29/18 22:45,36.173,2.361,6
6/29/18 23:45,53.61,3.461,6
6/30/18 0:45,55.053,3.523,6
6/30/18 1:46,46.935,3.022,6
6/30/18 2:45,46.11,2.983,6
6/30/18 3:45,69.134,4.368,6
6/30/18 4:45,77.811,4.88,6
6/30/18 5:45,74.401,4.677,6
6/30/18 6:45,58.139,3.705,6
6/30/18 7:45,55.441,3.546,6
6/30/18 8:45,52.236,3.364,6
6/30/18 9:45,53.2,3.421,6
6/30/18 10:45,54.68,3.51,6
6/30/18 11:45,52.861,3.388,6
6/30/18 12:45,49.653,3.199,6
6/30/18 13:45,46.253,3,6
6/30/18 14:45,45.539,2.955,6
6/30/18 15:45,43.663,2.834,6
6/30/18 16:45,72.234,4.558,6
6/30/18 17:45,127.031,7.807,6
6/30/18 18:45,104.737,6.53,6
6/30/18 19:45,85.315,5.367,6
6/30/18 20:45,59.942,3.821,6
6/30/18 21:45,49.168,3.193,6
6/30/18 22:45,45.551,2.965,6
6/30/18 23:45,44.64,2.904,6
7/1/18 0:45,36.365,2.37,6
7/1/18 1:45,38.986,2.521,6
7/1/18 2:45,35.886,2.325,6
7/1/18 3:45,47.549,3.043,6
7/1/18 4:45,70.076,4.402,6
7/1/18 5:45,84.439,5.293,6
7/1/18 6:45,83.749,5.258,6
7/1/18 7:45,62.462,3.985,6
7/1/18 8:45,44.346,2.859,6
7/1/18 9:45,44.675,2.884,6
7/1/18 10:45,47.975,3.099,6
7/1/18 11:45,36.478,2.37,6
7/1/18 12:46,36.669,2.379,6
7/1/18 13:45,37.263,2.427,6
7/1/18 14:46,36.929,2.398,6
