time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/27/18 16:03,48.321,3.084,11
6/27/18 17:03,33.312,2.165,11
6/27/18 18:03,32.6,2.122,11
6/27/18 19:03,30.728,2.003,11
6/27/18 20:03,32.363,2.118,11
6/27/18 21:03,35.927,2.351,11
6/27/18 22:03,36.446,2.384,11
6/27/18 23:03,31.644,2.069,11
6/28/18 0:03,38.027,2.464,11
6/28/18 1:03,35.442,2.299,11
6/28/18 2:03,47.313,3.039,11
6/28/18 3:03,49.059,3.149,11
6/28/18 4:03,53.836,3.452,11
6/28/18 5:03,46.309,2.998,11
6/28/18 6:03,31.124,2.032,11
6/28/18 7:03,31.839,2.081,11
6/28/18 8:03,36.054,2.358,11
6/28/18 9:03,36.566,2.389,11
6/28/18 10:03,38.315,2.502,11
6/28/18 11:03,35.538,2.325,11
6/28/18 12:03,35.476,2.322,11
6/28/18 13:03,35.014,2.288,11
6/28/18 14:03,34.546,2.246,11
6/28/18 15:03,51.881,3.314,11
6/28/18 16:03,44.092,2.84,11
6/28/18 17:03,46.196,2.952,11
6/28/18 18:03,45.001,2.901,11
6/28/18 19:03,40.606,2.624,11
6/28/18 20:03,31.826,2.07,11
6/28/18 21:03,33.387,2.177,11
6/28/18 22:03,35.792,2.339,11
6/28/18 23:03,36.628,2.392,11
6/29/18 0:03,37.277,2.435,11
6/29/18 1:03,38.255,2.5,11
6/29/18 2:03,38.639,2.523,11
6/29/18 3:03,37.2,2.421,11
6/29/18 4:03,-20.109,-1.301,11
6/29/18 5:03,37.981,2.473,11
6/29/18 6:03,39.343,2.565,11
6/29/18 7:03,39.932,2.607,11
6/29/18 8:03,38.963,2.544,11
6/29/18 9:03,36.939,2.403,11
6/29/18 9:48,38.76,2.526,11
6/29/18 10:48,37.789,2.462,11
6/29/18 11:48,37.345,2.438,11
6/29/18 12:48,37.604,2.454,11
6/29/18 13:48,37.792,2.465,11
6/29/18 14:48,37.987,2.476,11
6/29/18 15:48,35.9,2.331,11
6/29/18 16:48,63.099,4.002,11
6/29/18 17:48,68.504,4.337,11
6/29/18 18:48,46.485,2.993,11
6/29/18 19:48,33.967,2.213,11
6/29/18 20:48,38.643,2.526,11
6/29/18 21:48,38.969,2.549,11
6/29/18 22:48,35.153,2.302,11
6/29/18 23:48,39.872,2.605,11
6/30/18 0:48,37.652,2.448,11
6/30/18 1:48,40.453,2.64,11
6/30/18 2:48,36.955,2.414,11
6/30/18 3:48,39.666,2.583,11
6/30/18 4:48,41.536,2.7,11
6/30/18 5:48,37.58,2.437,11
