time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/1/17 0:15,92.081,5.836,11
6/1/17 1:15,102.957,6.499,11
6/1/17 2:15,125.414,7.856,11
6/1/17 3:15,114.33,7.251,11
6/1/17 4:15,103.575,6.534,11
6/1/17 5:15,133.004,8.423,11
6/1/17 6:15,129.284,8.202,11
6/1/17 7:15,118.172,7.548,11
6/1/17 8:16,85.521,5.452,11
6/1/17 9:15,88.797,5.647,11
6/1/17 10:15,89.308,5.674,11
6/1/17 11:15,87.828,5.588,11
6/1/17 12:15,96.382,6.101,11
6/1/17 13:15,92.25,5.835,11
6/1/17 14:15,81.499,5.186,11
6/1/17 15:15,76.556,4.903,11
6/1/17 16:15,74.886,4.801,11
6/1/17 17:15,73.664,4.734,11
6/1/17 18:15,73.084,4.69,11
6/1/17 19:15,73.326,4.685,11
6/1/17 20:15,73.975,4.732,11
6/1/17 21:15,77.951,4.967,11
6/1/17 22:15,101.299,6.38,11
6/1/17 23:15,95.263,6.023,11
6/2/17 0:15,105.94,6.667,11
6/2/17 1:15,84.452,5.368,11
6/2/17 2:15,87.852,5.564,11
6/2/17 3:15,93.628,5.901,11
6/2/17 4:15,89.01,5.632,11
6/2/17 5:15,85.719,5.482,11
6/2/17 6:15,99.034,6.226,11
6/2/17 7:15,92.92,5.917,11
6/2/17 8:15,100.942,6.33,11
6/2/17 9:15,107.858,6.74,11
6/2/17 10:15,109.13,6.794,11
6/2/17 11:15,106.145,6.656,11
6/2/17 12:15,110.731,7.052,11
6/2/17 13:15,110.466,6.882,11
6/2/17 14:15,112.407,6.988,11
6/2/17 15:15,102.442,6.438,11
6/2/17 16:15,110.248,6.866,11
6/2/17 17:15,113.135,7.033,11
6/2/17 18:15,100.759,6.322,11
6/2/17 19:15,91.851,5.815,11
6/2/17 20:15,91.66,5.801,11
6/2/17 21:15,103.259,6.462,11
6/2/17 22:15,108.275,6.718,11
6/2/17 23:15,109.181,6.758,11
6/3/17 0:15,110.616,6.847,11
6/3/17 1:15,111.625,6.89,11
6/3/17 2:15,110.825,6.855,11
6/3/17 3:15,110.414,6.821,11
6/3/17 4:15,109.502,6.793,11
6/3/17 5:15,94.089,5.935,11
6/3/17 6:15,83.768,5.342,11
6/3/17 7:15,86.012,5.472,11
6/3/17 8:15,97.059,6.125,11
6/3/17 9:15,110.567,6.841,11
6/3/17 10:15,110.276,6.848,11
6/3/17 11:15,99.127,6.253,11
6/3/17 12:15,117.747,7.34,11
6/3/17 13:15,115.169,7.18,11
6/3/17 14:15,115.973,7.206,11
6/3/17 15:15,115.482,7.14,11
6/3/17 16:15,115.395,7.173,11
6/3/17 17:15,114.836,7.154,11
6/3/17 18:15,84.466,5.373,11
6/3/17 19:15,79.851,5.108,11
6/3/17 20:15,91.27,5.833,11
6/3/17 21:15,92.934,5.859,11
6/3/17 22:15,95.504,6.014,11
6/3/17 23:15,105.026,6.589,11
6/4/17 0:15,104.207,6.552,11
6/4/17 1:15,111.051,6.938,11
6/4/17 2:15,112.189,6.989,11
6/4/17 3:15,151.07,9.402,11
6/4/17 4:15,93.054,5.874,11
6/4/17 5:15,84.727,5.396,11
6/4/17 6:15,78.44,5.03,11
6/4/17 7:15,75.233,4.841,11
6/4/17 8:15,77.617,4.986,11
6/4/17 9:15,78.818,5.042,11
6/4/17 10:15,87.852,5.56,11
6/4/17 11:15,115.449,7.122,11
6/4/17 12:15,103.01,6.457,11
6/4/17 13:15,82.658,5.265,11
6/4/17 14:15,79.275,5.076,11
6/4/17 15:15,79.992,5.125,11
6/4/17 16:15,74.982,4.833,11
6/4/17 17:15,77.873,5.057,11
6/4/17 18:15,78.194,5.021,11
6/4/17 19:15,78.141,5.028,11
6/4/17 20:15,78.845,5.062,11
6/4/17 21:15,80.997,5.17,11
6/4/17 22:15,93.001,5.873,11
6/4/17 23:15,92.934,5.866,11
6/5/17 0:15,84.706,5.376,11
6/5/17 1:15,78.476,5.004,11
6/5/17 2:15,73.866,4.736,11
6/5/17 3:15,74.049,4.745,11
6/5/17 4:15,72.4,4.653,11
6/5/17 5:15,72.152,4.646,11
6/5/17 6:15,69.44,4.473,11
6/5/17 7:15,70.86,4.561,11
6/5/17 8:15,71.625,4.604,11
6/5/17 9:15,70.782,4.596,11
6/5/17 10:15,69.937,4.491,11
6/5/17 11:15,66.834,4.291,11
6/5/17 12:15,78.301,4.95,11
6/5/17 13:15,70.772,4.489,11
6/5/17 14:15,61.851,3.962,11
6/5/17 15:15,61.742,3.97,11
6/5/17 16:15,61.614,3.964,11
6/5/17 17:15,60.569,3.893,11
6/5/17 18:15,58.839,3.789,11
6/5/17 19:15,62.37,4.001,11
6/5/17 20:15,65.453,4.186,11
6/5/17 21:15,65.247,4.162,11
6/5/17 22:15,70.658,4.497,11
6/5/17 23:15,78.912,4.977,11
6/6/17 0:15,80.654,5.089,11
6/6/17 1:15,71.611,4.546,11
6/6/17 2:15,71.817,4.574,11
6/6/17 3:15,59.016,3.792,11
6/6/17 4:15,57.935,3.74,11
6/6/17 5:15,68.127,4.383,11
6/6/17 6:15,58.847,3.806,11
6/6/17 7:15,52.766,3.409,11
