time[YYYY-MM-DD hh:mm:ss PST], water_temperature,depth
5/26/17 11:36,8.876,35
5/26/17 11:38,8.881,35
5/26/17 11:40,8.88,35
5/26/17 11:42,8.881,35
5/26/17 11:44,8.883,35
5/26/17 11:46,8.883,35
5/26/17 11:48,8.883,35
5/26/17 11:50,8.883,35
5/26/17 11:52,8.885,35
5/26/17 11:54,8.886,35
5/26/17 11:56,8.886,35
5/26/17 11:58,8.886,35
5/26/17 12:00,8.887,35
5/26/17 12:02,8.888,35
5/26/17 12:04,8.889,35
5/26/17 12:06,8.889,35
5/26/17 12:08,8.889,35
5/26/17 12:10,8.89,35
5/26/17 12:12,8.892,35
5/26/17 12:14,8.892,35
5/26/17 12:16,8.892,35
5/26/17 12:18,8.893,35
5/26/17 12:20,8.894,35
5/26/17 12:22,8.895,35
5/26/17 12:24,8.895,35
5/26/17 12:26,8.897,35
5/26/17 12:28,8.898,35
5/26/17 12:30,8.899,35
5/26/17 12:32,8.901,35
5/26/17 12:34,8.901,35
5/26/17 12:36,8.902,35
5/26/17 12:38,8.904,35
5/26/17 12:40,8.906,35
5/26/17 12:42,8.908,35
5/26/17 12:44,8.908,35
5/26/17 12:46,8.91,35
5/26/17 12:48,8.909,35
5/26/17 12:50,8.911,35
5/26/17 12:52,8.912,35
5/26/17 12:54,8.913,35
5/26/17 12:56,8.914,35
5/26/17 12:58,8.915,35
5/26/17 13:00,8.915,35
5/26/17 13:02,8.919,35
5/26/17 13:04,8.92,35
5/26/17 13:06,8.924,35
5/26/17 13:08,8.924,35
5/26/17 13:10,8.926,35
5/26/17 13:12,8.927,35
5/26/17 13:14,8.929,35
5/26/17 13:16,8.934,35
5/26/17 13:18,8.937,35
5/26/17 13:20,8.939,35
5/26/17 13:22,8.942,35
5/26/17 13:24,8.941,35
5/26/17 13:26,8.941,35
5/26/17 13:28,8.943,35
5/26/17 13:30,8.944,35
5/26/17 13:32,8.944,35
5/26/17 13:34,8.947,35
5/26/17 13:36,8.952,35
5/26/17 13:38,8.956,35
5/26/17 13:40,8.957,35
5/26/17 13:42,8.957,35
5/26/17 13:44,8.958,35
5/26/17 13:46,8.958,35
5/26/17 13:48,8.962,35
5/26/17 13:50,8.966,35
5/26/17 13:52,8.967,35
5/26/17 13:54,8.97,35
5/26/17 13:56,8.972,35
