time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
5/27/16 12:49,67.073,4.288,16
5/27/16 13:09,66.557,4.256,16
5/27/16 13:29,65.658,4.203,16
5/27/16 13:49,65.2,4.172,16
5/27/16 14:09,65.265,4.173,16
5/27/16 14:29,62.247,3.995,16
5/27/16 14:49,63.522,4.064,16
5/27/16 15:09,66.161,4.223,16
5/27/16 15:29,64.941,4.151,16
5/27/16 15:49,63.967,4.089,16
5/27/16 16:09,66.22,4.224,16
5/27/16 16:29,70.843,4.498,16
5/27/16 16:49,72.583,4.601,16
5/27/16 17:09,87.364,5.474,16
5/27/16 17:49,93.613,5.854,16
5/27/16 18:09,90.72,5.682,16
5/27/16 18:29,90.451,5.657,16
5/27/16 18:49,105.021,6.489,16
5/27/16 19:09,108.798,6.697,16
5/27/16 19:29,100.347,6.234,16
5/27/16 19:49,82.035,5.164,16
5/27/16 20:09,80.88,5.094,16
5/27/16 20:29,76.891,4.856,16
5/27/16 20:49,72.835,4.613,16
5/27/16 21:09,68.856,4.384,16
5/27/16 21:29,67.571,4.307,16
5/27/16 21:49,67.379,4.293,16
5/27/16 22:09,66.225,4.227,16
5/27/16 22:29,66.228,4.231,16
5/27/16 22:49,63.907,4.087,16
5/27/16 23:09,62.814,4.02,16
5/27/16 23:29,65.008,4.158,16
5/27/16 23:49,62.751,4.02,16
5/28/16 0:09,62.885,4.03,16
5/28/16 0:29,63.914,4.094,16
5/28/16 0:49,63.208,4.051,16
5/28/16 1:09,63.012,4.038,16
5/28/16 1:29,61.658,3.955,16
5/28/16 1:49,61.597,3.951,16
5/28/16 2:09,61.017,3.915,16
5/28/16 2:29,61.016,3.915,16
5/28/16 2:49,61.078,3.917,16
5/28/16 3:09,61.138,3.919,16
5/28/16 3:29,61.332,3.93,16
5/28/16 3:49,61.714,3.952,16
5/28/16 4:09,63.575,4.065,16
5/28/16 4:29,63.774,4.075,16
5/28/16 4:49,64.283,4.105,16
5/28/16 5:09,66.476,4.238,16
5/28/16 5:29,68.463,4.356,16
5/28/16 5:49,70.956,4.494,16
5/28/16 6:09,106.199,6.517,16
5/28/16 6:29,94.19,5.83,16
5/28/16 6:49,103.518,6.376,16
5/28/16 7:09,99.214,6.128,16
5/28/16 7:29,89.516,5.566,16
5/28/16 7:49,92.668,5.755,16
5/28/16 8:09,93.332,5.816,16
5/28/16 8:29,79.206,4.998,16
5/28/16 8:49,75.925,4.803,16
5/28/16 9:09,70.01,4.45,16
5/28/16 9:29,68.789,4.38,16
5/28/16 9:49,67.315,4.294,16
5/28/16 10:09,66.163,4.226,16
5/28/16 10:29,64.366,4.123,16
5/28/16 10:49,64.754,4.152,16
5/28/16 11:09,63.399,4.062,16
5/28/16 11:29,64.299,4.122,16
5/28/16 11:49,63.004,4.035,16
5/28/16 12:09,62.414,3.993,16
5/28/16 12:29,62.615,4.005,16
5/28/16 12:49,62.677,4.011,16
5/28/16 13:09,62.998,4.03,16
5/28/16 13:29,64.361,4.12,16
5/28/16 13:49,64.411,4.124,16
5/28/16 14:09,65.586,4.195,16
5/28/16 14:29,66.095,4.227,16
5/28/16 14:49,65.653,4.199,16
5/28/16 15:09,65.903,4.21,16
5/28/16 15:29,67.566,4.304,16
5/28/16 15:49,69.234,4.397,16
5/28/16 16:09,69.553,4.413,16
5/28/16 16:29,72.185,4.571,16
5/28/16 16:49,75.342,4.758,16
5/28/16 17:09,72.962,4.618,16
5/28/16 17:29,72.902,4.619,16
5/28/16 17:49,74.769,4.732,16
5/28/16 18:09,76.695,4.852,16
5/28/16 18:29,76.64,4.85,16
5/28/16 18:49,73.36,4.655,16
5/28/16 19:09,79.147,4.999,16
5/28/16 19:29,79.02,4.99,16
5/28/16 19:49,78.434,4.949,16
5/28/16 20:09,93.097,5.824,16
5/28/16 20:29,80.824,5.107,16
5/28/16 20:49,75.233,4.773,16
5/28/16 21:09,78.451,4.967,16
5/28/16 21:29,72.922,4.638,16
5/28/16 21:49,71.137,4.546,16
5/28/16 22:09,72.829,4.662,16
5/28/16 22:29,73.998,4.739,16
5/28/16 22:49,75.038,4.81,16
5/28/16 23:09,74.647,4.779,16
5/28/16 23:29,74.849,4.797,16
5/28/16 23:49,74.455,4.77,16
5/29/16 0:09,73.558,4.715,16
5/29/16 0:29,73.62,4.718,16
5/29/16 0:49,73.558,4.716,16
5/29/16 1:09,73.683,4.721,16
5/29/16 1:29,73.873,4.729,16
5/29/16 1:49,73.873,4.729,16
5/29/16 2:09,74.255,4.753,16
5/29/16 2:29,74.123,4.741,16
5/29/16 2:49,74.313,4.753,16
5/29/16 3:09,74.381,4.758,16
5/29/16 3:29,74.64,4.774,16
5/29/16 3:49,74.771,4.781,16
5/29/16 4:09,73.591,4.695,16
5/29/16 4:29,75.483,4.779,16
5/29/16 4:49,76.899,4.864,16
5/29/16 5:09,77.031,4.877,16
5/29/16 5:29,78.767,4.979,16
5/29/16 5:49,74.716,4.737,16
5/29/16 6:09,80.437,5.079,16
5/29/16 6:29,92.27,5.78,16
5/29/16 6:49,91.364,5.72,16
5/29/16 7:09,91.428,5.725,16
5/29/16 7:29,93.225,5.827,16
5/29/16 7:49,93.287,5.83,16
5/29/16 8:09,94.438,5.892,16
5/29/16 8:29,97.452,6.059,16
5/29/16 8:49,98.024,6.084,16
5/29/16 9:10,96.294,5.991,16
5/29/16 9:29,92.308,5.754,16
5/29/16 9:49,76.187,4.821,16
5/29/16 10:09,71.116,4.523,16
5/29/16 10:29,69.644,4.442,16
5/29/16 10:49,70.886,4.53,16
5/29/16 11:09,70.107,4.479,16
5/29/16 11:29,73.157,4.679,16
5/29/16 11:49,72.779,4.661,16
5/29/16 12:09,70.974,4.55,16
5/29/16 12:29,70.645,4.525,16
5/29/16 12:49,69.162,4.433,16
5/29/16 13:09,68.902,4.416,16
5/29/16 13:29,70.381,4.503,16
5/29/16 13:49,70.833,4.531,16
5/29/16 14:09,72.445,4.631,16
5/29/16 14:29,73.468,4.69,16
5/29/16 14:49,75.531,4.768,16
5/29/16 15:09,73.152,4.628,16
5/29/16 15:29,74.315,4.702,16
5/29/16 15:49,75.604,4.783,16
5/29/16 16:09,75.737,4.79,16
5/29/16 16:29,74.896,4.737,16
5/29/16 16:49,75.091,4.751,16
5/29/16 17:09,73.605,4.655,16
5/29/16 17:29,72.188,4.571,16
5/29/16 17:49,74.686,4.706,16
5/29/16 18:09,82.4,5.17,16
5/29/16 18:29,82.088,5.157,16
5/29/16 18:49,81.953,5.149,16
5/29/16 19:09,73.597,4.649,16
5/29/16 19:29,82.846,5.198,16
5/29/16 19:49,82.714,5.186,16
5/29/16 20:09,79.762,5.011,16
5/29/16 20:29,78.868,4.963,16
5/29/16 20:49,72.631,4.589,16
5/29/16 21:09,81.508,5.126,16
5/29/16 21:29,82.854,5.202,16
5/29/16 21:49,83.496,5.242,16
5/29/16 22:09,80.801,5.085,16
5/29/16 22:29,77.588,4.89,16
5/29/16 22:49,77.844,4.903,16
5/29/16 23:09,74.762,4.724,16
5/29/16 23:29,74.054,4.684,16
5/29/16 23:49,73.87,4.678,16
5/30/16 0:09,77.618,4.963,16
5/30/16 0:29,75.097,4.807,16
5/30/16 0:49,73.815,4.732,16
5/30/16 1:09,69.877,4.482,16
5/30/16 1:29,67.606,4.335,16
5/30/16 1:49,71.501,4.593,16
5/30/16 2:09,70.214,4.513,16
5/30/16 2:29,72.526,4.655,16
5/30/16 2:49,71.175,4.571,16
5/30/16 3:09,70.978,4.557,16
5/30/16 3:29,70.459,4.523,16
5/30/16 3:49,68.393,4.391,16
5/30/16 4:09,68.454,4.392,16
5/30/16 4:29,66.196,4.249,16
5/30/16 4:49,69.148,4.425,16
5/30/16 5:09,69.856,4.468,16
5/30/16 5:29,70.361,4.496,16
5/30/16 5:49,70.203,4.459,16
5/30/16 6:09,74.763,4.728,16
5/30/16 6:29,71.928,4.556,16
5/30/16 6:49,72.884,4.604,16
5/30/16 7:09,75.203,4.745,16
5/30/16 7:29,99.209,6.19,16
5/30/16 7:49,109.8,6.811,16
5/30/16 8:09,98.419,6.124,16
5/30/16 8:29,78.547,4.943,16
5/30/16 8:49,71.796,4.541,16
5/30/16 9:09,93.795,5.861,16
5/30/16 9:29,98.593,6.121,16
5/30/16 9:49,79.067,4.977,16
5/30/16 10:09,75.598,4.776,16
5/30/16 10:29,73.093,4.628,16
5/30/16 10:50,71.492,4.536,16
5/30/16 11:09,69.889,4.443,16
5/30/16 11:29,69.7,4.436,16
5/30/16 11:49,68.874,4.396,16
5/30/16 12:09,67.914,4.341,16
5/30/16 12:29,66.95,4.283,16
5/30/16 12:49,65.856,4.214,16
5/30/16 13:09,64.628,4.137,16
5/30/16 13:29,65.403,4.188,16
5/30/16 13:49,64.884,4.152,16
5/30/16 14:09,64.497,4.129,16
5/30/16 14:29,63.073,4.037,16
5/30/16 14:49,62.245,3.989,16
5/30/16 15:09,62.116,3.984,16
5/30/16 15:29,61.791,3.964,16
5/30/16 15:49,55.982,3.597,16
5/30/16 16:09,55.73,3.583,16
5/30/16 16:29,56.763,3.649,16
5/30/16 16:49,61.026,3.919,16
5/30/16 17:09,66.317,4.251,16
5/30/16 17:29,62.042,3.973,16
5/30/16 17:49,56.282,3.602,16
5/30/16 18:09,57.055,3.65,16
5/30/16 18:29,55.568,3.559,16
5/30/16 18:49,63.055,4.03,16
5/30/16 19:09,86.824,5.48,16
5/30/16 19:29,91.445,5.743,16
5/30/16 19:49,91.422,5.722,16
5/30/16 20:09,91.392,5.7,16
5/30/16 20:29,92.665,5.765,16
