time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/1/17 0:36,56.841,3.565,21
6/1/17 1:36,56.32,3.534,21
6/1/17 2:36,53.929,3.378,21
6/1/17 3:36,53.075,3.313,21
6/1/17 4:36,115.359,7.195,21
6/1/17 5:36,52.375,3.275,21
6/1/17 6:36,49.798,3.113,21
6/1/17 7:36,123.464,7.738,21
6/1/17 8:36,52.105,3.254,21
6/1/17 9:36,51.451,3.203,21
6/1/17 10:36,52.136,3.221,21
6/1/17 11:36,52.739,3.286,21
6/1/17 12:36,55.131,3.437,21
6/1/17 13:36,55.783,3.485,21
6/1/17 14:36,60.062,3.774,21
6/1/17 15:36,57.223,3.594,21
6/1/17 16:36,56.902,3.575,21
6/1/17 17:36,55.274,3.456,21
6/1/17 18:36,55.494,3.531,21
6/1/17 19:36,55.558,3.503,21
6/1/17 20:36,56.511,3.586,21
6/1/17 21:36,56.752,3.544,21
6/1/17 22:36,60.681,3.782,21
6/1/17 23:36,57.325,3.571,21
6/2/17 0:36,59.805,3.75,21
6/2/17 1:36,65.533,4.1,21
6/2/17 2:36,63.154,3.957,21
6/2/17 3:36,62.258,3.909,21
6/2/17 4:36,63.684,4.003,21
6/2/17 5:36,64.51,4.041,21
6/2/17 6:36,65.391,4.189,21
6/2/17 7:36,65.084,4.072,21
6/2/17 8:36,66.624,4.16,21
6/2/17 9:36,66.355,4.127,21
6/2/17 10:36,63.821,3.957,21
6/2/17 11:36,62.401,3.859,21
6/2/17 12:36,58.639,3.605,21
6/2/17 13:36,61.336,3.765,21
6/2/17 14:36,64.762,3.988,21
6/2/17 15:36,63.514,3.99,21
6/2/17 16:36,55.454,3.381,21
6/2/17 17:36,59.13,3.608,21
6/2/17 18:36,53.281,3.264,21
6/2/17 19:36,52.523,3.269,21
6/2/17 20:36,55.576,3.441,21
6/2/17 21:36,62.333,3.851,21
6/2/17 22:36,63.217,3.886,21
6/2/17 23:36,65.742,4.057,21
6/3/17 0:36,71.189,4.368,21
6/3/17 1:36,69.71,4.286,21
6/3/17 2:36,66.174,4.08,21
6/3/17 3:36,59.015,3.628,21
6/3/17 4:36,53.989,3.314,21
6/3/17 5:36,56.918,3.567,21
6/3/17 6:36,52.924,3.283,21
