time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen,depth
6/1/17 0:57,108.972,6.89,1
6/1/17 1:57,111.142,7.033,1
6/1/17 2:57,111.53,7.061,1
6/1/17 3:57,147.986,9.379,1
6/1/17 4:57,146.057,9.291,1
6/1/17 5:57,109.473,6.98,1
6/1/17 6:57,155.925,9.96,1
6/1/17 7:57,108.247,6.92,1
6/1/17 8:57,107.981,6.912,1
6/1/17 9:57,108.228,6.926,1
6/1/17 10:57,109.235,6.963,1
6/1/17 11:57,110.079,7.023,1
6/1/17 12:57,110.2,7.017,1
6/1/17 13:57,110.83,7.037,1
6/1/17 14:57,109.865,7.025,1
6/1/17 15:57,109.474,6.938,1
6/1/17 16:57,104.59,6.623,1
6/1/17 17:57,106.893,6.773,1
6/1/17 18:57,105.752,6.697,1
6/1/17 19:57,105.67,6.664,1
6/1/17 20:57,105.02,6.612,1
6/1/17 21:57,102.795,6.484,1
6/1/17 22:57,106.124,6.694,1
6/1/17 23:57,104.58,6.597,1
6/2/17 0:57,103.432,6.523,1
6/2/17 1:57,100.796,6.358,1
6/2/17 2:57,101.124,6.375,1
6/2/17 3:57,101.599,6.424,1
6/2/17 4:57,103.721,6.553,1
6/2/17 5:57,102.356,6.464,1
6/2/17 6:57,102.173,6.444,1
6/2/17 7:57,101.154,6.361,1
6/2/17 8:57,103.278,6.533,1
6/2/17 9:57,104.984,6.548,1
6/2/17 10:57,107.172,6.589,1
6/2/17 11:57,108.441,6.772,1
6/2/17 12:57,109.569,6.809,1
6/2/17 13:57,110.252,6.833,1
6/2/17 14:57,110.458,6.84,1
6/2/17 15:57,109.952,6.765,1
6/2/17 16:57,110.641,6.82,1
6/2/17 17:57,114.633,7.125,1
6/2/17 18:57,114.822,7.135,1
6/2/17 19:57,111.895,6.946,1
6/2/17 20:57,110.107,6.828,1
6/2/17 21:57,108.42,6.746,1
6/2/17 22:57,107.99,6.718,1
6/2/17 23:57,107.42,6.689,1
6/3/17 0:57,107.4,6.684,1
6/3/17 1:57,107.371,6.694,1
6/3/17 2:57,109.802,6.853,1
6/3/17 3:57,108.974,6.813,1
6/3/17 4:57,106.42,6.686,1
6/3/17 5:57,106.107,6.674,1
6/3/17 6:57,106.243,6.727,1
6/3/17 7:57,107.72,6.785,1
6/3/17 8:57,108.996,6.846,1
6/3/17 9:57,109.817,6.842,1
6/3/17 10:57,110.899,6.884,1
6/3/17 11:57,110.477,6.924,1
6/3/17 12:57,110.883,6.885,1
6/3/17 13:57,109.834,6.882,1
6/3/17 14:57,113.109,6.999,1
6/3/17 15:57,110.341,6.855,1
6/3/17 16:57,110.842,6.951,1
6/3/17 17:57,110.467,6.911,1
6/3/17 18:57,109.584,6.861,1
6/3/17 19:57,107.551,6.725,1
6/3/17 20:57,106.385,6.904,1
6/3/17 21:57,105.805,6.857,1
6/3/17 22:57,101.75,6.49,1
6/3/17 23:57,105.456,6.763,1
6/4/17 0:57,105.922,6.756,1
6/4/17 1:57,105.344,6.65,1
6/4/17 2:57,144.003,9.242,1
6/4/17 3:57,102.353,6.583,1
6/4/17 4:57,100.972,6.503,1
6/4/17 5:57,103.024,6.794,1
6/4/17 6:57,104.228,6.701,1
6/4/17 7:57,103.377,6.665,1
6/4/17 8:57,104.127,6.854,1
6/4/17 9:57,105.676,6.873,1
6/4/17 10:57,109.597,7.092,1
6/4/17 11:57,112.06,7.255,1
6/4/17 12:57,108.839,7.138,1
6/4/17 13:57,104.495,6.871,1
6/4/17 14:57,98.772,6.393,1
6/4/17 15:57,98.36,6.287,1
6/4/17 16:57,101.06,6.454,1
6/4/17 17:57,100.384,6.379,1
6/4/17 18:57,101.026,6.438,1
6/4/17 19:57,99.166,6.349,1
6/4/17 20:57,97.089,6.309,1
6/4/17 21:57,99.498,6.547,1
6/4/17 22:57,108.016,7.044,1
6/4/17 23:57,109.769,7.149,1
6/5/17 0:57,108.566,7.165,1
6/5/17 1:57,150.627,9.692,1
6/5/17 2:57,104.262,6.656,1
6/5/17 3:57,97.858,6.276,1
6/5/17 4:57,96.959,6.147,1
6/5/17 5:57,93.272,6.072,1
6/5/17 6:57,99.216,6.249,1
6/5/17 7:57,99.159,6.387,1
6/5/17 8:57,97.756,6.309,1
6/5/17 9:57,98.365,6.331,1
6/5/17 10:57,97.741,6.426,1
6/5/17 11:57,97.57,6.245,1
6/5/17 12:57,106.217,6.698,1
6/5/17 13:57,103.759,6.581,1
6/5/17 14:57,96.189,6.184,1
6/5/17 15:57,88.328,5.636,1
6/5/17 16:57,86.023,5.462,1
6/5/17 17:57,84.418,5.378,1
6/5/17 18:57,86.284,5.497,1
6/5/17 19:57,80.396,5.133,1
6/5/17 20:57,87.181,5.716,1
6/5/17 21:57,88.395,5.767,1
6/5/17 22:57,86.716,5.566,1
6/5/17 23:57,95.502,6.105,1
6/6/17 0:57,98.937,6.385,1
6/6/17 1:57,97.701,6.185,1
6/6/17 2:57,97.187,6.096,1
6/6/17 3:57,96.366,6.059,1
6/6/17 4:57,96.185,6.058,1
6/6/17 5:57,99.007,6.227,1
6/6/17 6:57,97.9,6.189,1
6/6/17 7:57,97.251,6.138,1
6/6/17 8:57,98.835,6.216,1
6/6/17 9:57,102.739,6.435,1
6/6/17 10:57,96.471,6.028,1
6/6/17 11:57,92.113,5.852,1
6/6/17 12:57,101.762,6.478,1
6/6/17 13:57,104.797,6.742,1
6/6/17 14:57,100.083,6.424,1
6/6/17 15:57,97.836,6.263,1
6/6/17 16:57,95.202,6.085,1
6/6/17 17:57,98.032,6.146,1
6/6/17 18:57,96.939,6.103,1
6/6/17 19:57,103.784,6.482,1
6/6/17 20:57,100.428,6.294,1
6/6/17 21:57,102.265,6.412,1
6/6/17 22:57,98.267,6.178,1
6/6/17 23:57,96.505,6.108,1
6/7/17 0:57,93.955,6.08,1
6/7/17 1:57,95.157,6.057,1
6/7/17 2:57,96.181,6.095,1
6/7/17 3:57,95.295,5.996,1
6/7/17 4:57,141.522,8.845,1
6/7/17 5:57,94.984,6.031,1
6/7/17 6:57,95.678,6.009,1
6/7/17 7:57,96.181,6.036,1
6/7/17 8:57,98.391,6.101,1
6/7/17 9:57,99.117,6.195,1
6/7/17 10:57,98.962,6.238,1
6/7/17 11:57,99.458,6.2,1
6/7/17 12:57,98.514,6.133,1
6/7/17 13:57,100.317,6.22,1
6/7/17 14:57,99.65,6.2,1
6/7/17 15:57,102.445,6.378,1
6/7/17 16:57,97.242,6.05,1
6/7/17 17:57,98.022,6.095,1
6/7/17 18:57,97.13,6.016,1
6/7/17 19:57,97.964,6.084,1
6/7/17 20:57,91.552,5.765,1
6/7/17 21:57,91.31,5.77,1
6/7/17 22:57,91.294,5.788,1
6/7/17 23:57,93.403,5.923,1
6/8/17 0:57,93.154,5.884,1
6/8/17 1:57,94.646,5.951,1
6/8/17 2:57,92.943,5.848,1
6/8/17 3:57,89.764,5.66,1
6/8/17 4:57,93.255,5.826,1
6/8/17 5:57,92.106,5.803,1
6/8/17 6:57,94.406,5.933,1
6/8/17 7:57,95.061,5.968,1
6/8/17 8:57,96.208,6.041,1
6/8/17 9:57,149.241,9.27,1
6/8/17 10:57,102.884,6.401,1
6/8/17 11:57,104.62,6.518,1
6/8/17 12:57,106.518,6.605,1
