time[YYYY-MM-DD hh:mm:ss PST], nitrate,depth
6/27/18 16:03,18.64,11
6/27/18 17:03,22.26,11
6/27/18 18:03,22.41,11
6/27/18 19:03,23.91,11
6/27/18 20:03,25.66,11
6/27/18 21:03,26.34,11
6/27/18 22:03,26.68,11
6/27/18 23:03,25.46,11
6/28/18 0:03,19.91,11
6/28/18 1:03,20.77,11
6/28/18 2:03,16.78,11
6/28/18 3:03,16.03,11
6/28/18 4:03,15.64,11
6/28/18 5:03,18.72,11
6/28/18 6:03,23.62,11
6/28/18 7:03,24.55,11
6/28/18 8:03,24.91,11
6/28/18 9:03,24.74,11
6/28/18 10:03,24.41,11
6/28/18 11:03,25.8,11
6/28/18 12:03,26.17,11
6/28/18 13:03,25.89,11
6/28/18 14:03,23.1,11
6/28/18 15:03,15.64,11
6/28/18 16:03,18.58,11
6/28/18 17:03,17.61,11
6/28/18 18:03,18.71,11
6/28/18 19:03,20.14,11
6/28/18 20:03,23.39,11
6/28/18 21:03,23.94,11
6/28/18 22:03,24.92,11
6/28/18 23:03,25.16,11
6/29/18 0:03,25.27,11
6/29/18 1:03,25.53,11
6/29/18 2:03,25.55,11
6/29/18 3:03,23.65,11
6/29/18 4:03,20.77,11
6/29/18 5:03,23.62,11
6/29/18 6:03,23.71,11
6/29/18 7:03,24.43,11
6/29/18 8:03,25.36,11
6/29/18 9:03,22.54,11
6/29/18 9:48,24.03,11
6/29/18 10:48,24.33,11
6/29/18 11:48,25.29,11
6/29/18 12:48,25.06,11
6/29/18 13:48,24.84,11
6/29/18 14:48,24.8,11
6/29/18 15:48,23.01,11
6/29/18 16:48,12.34,11
6/29/18 17:48,10.94,11
6/29/18 18:48,17.98,11
6/29/18 19:48,23.27,11
6/29/18 20:48,24.86,11
6/29/18 21:48,25.21,11
6/29/18 22:48,26.51,11
6/29/18 23:48,24.47,11
6/30/18 0:48,22.18,11
6/30/18 1:48,24.85,11
6/30/18 2:48,26,11
6/30/18 3:48,25.44,11
6/30/18 4:48,24.48,11
6/30/18 5:48,21.94,11
6/30/18 6:48,24.24,11
6/30/18 7:48,24.36,11
6/30/18 8:48,24.86,11
6/30/18 9:48,21.88,11
6/30/18 10:48,23.12,11
6/30/18 11:48,25.26,11
6/30/18 12:48,25.04,11
6/30/18 13:48,24.45,11
6/30/18 14:48,25.3,11
6/30/18 15:48,25.18,11
6/30/18 16:48,24.57,11
6/30/18 17:48,17.46,11
6/30/18 18:48,16.45,11
6/30/18 19:48,17.54,11
6/30/18 20:48,23.24,11
6/30/18 21:48,24.44,11
6/30/18 22:48,24.77,11
6/30/18 23:48,25.25,11
7/1/18 0:48,26.36,11
7/1/18 1:48,24.85,11
7/1/18 2:48,25.11,11
7/1/18 3:48,23.92,11
7/1/18 4:48,20.76,11
7/1/18 5:48,21.55,11
7/1/18 6:48,23.85,11
7/1/18 7:48,24.17,11
7/1/18 8:48,23.69,11
7/1/18 9:48,22.51,11
7/1/18 10:48,25,11
7/1/18 11:48,25.64,11
7/1/18 12:48,25.94,11
7/1/18 13:48,25.74,11
7/1/18 14:48,25.81,11
7/1/18 15:48,26.11,11
7/1/18 16:48,22.68,11
7/1/18 17:48,16.69,11
7/1/18 18:48,19.24,11
7/1/18 19:48,21.56,11
7/1/18 20:48,24.71,11
7/1/18 21:48,25.66,11
7/1/18 22:48,24.64,11
7/1/18 23:48,25.32,11
7/2/18 0:48,26.54,11
7/2/18 1:48,24.96,11
7/2/18 2:48,26.24,11
7/2/18 3:48,26.42,11
7/2/18 4:48,24.76,11
7/2/18 5:48,20.46,11
7/2/18 6:48,23.47,11
7/2/18 7:48,25.49,11
7/2/18 8:48,25.15,11
7/2/18 9:48,27.41,11
7/2/18 10:48,26.4,11
7/2/18 11:48,27.76,11
7/2/18 12:48,24.48,11
7/2/18 14:48,27.26,11
7/2/18 15:48,26.26,11
7/2/18 16:48,26.05,11
7/2/18 17:48,25.02,11
7/2/18 18:48,24.14,11
7/2/18 19:48,21.27,11
7/2/18 20:48,23.63,11
7/2/18 21:48,26.1,11
7/2/18 22:48,0.39,11
7/2/18 23:48,27.15,11
7/3/18 0:48,27.66,11
7/3/18 1:48,26.97,11
7/3/18 2:48,28.5,11
7/3/18 3:48,28.82,11
7/3/18 4:48,28.28,11
7/3/18 5:48,25.92,11
7/3/18 6:48,27.1,11
7/3/18 7:48,27.58,11
7/3/18 8:48,23.98,11
7/3/18 9:48,26.69,11
7/3/18 10:48,27.45,11
7/3/18 11:48,27.95,11
7/3/18 12:48,29.42,11
7/3/18 13:48,28.52,11
7/3/18 14:48,27.18,11
7/3/18 15:48,27.81,11
7/3/18 16:48,27.74,11
7/3/18 17:48,22.88,11
7/3/18 18:48,25.18,11
7/3/18 19:48,19.67,11
7/3/18 20:48,27.54,11
7/3/18 21:48,29.51,11
7/3/18 22:48,29.95,11
7/3/18 23:48,29.94,11
7/4/18 0:48,28.41,11
7/4/18 1:48,27.59,11
7/4/18 2:48,29.82,11
7/4/18 3:48,29.89,11
7/4/18 4:48,30.14,11
7/4/18 5:48,30.22,11
7/4/18 6:48,29.62,11
7/4/18 7:48,17.66,11
7/4/18 8:48,26.08,11
7/4/18 9:48,29.16,11
7/4/18 10:48,29.45,11
7/4/18 11:48,29.56,11
7/4/18 12:48,29.89,11
7/4/18 13:48,29.37,11
7/4/18 14:48,30.12,11
7/4/18 15:48,29.75,11
7/4/18 16:48,28.16,11
7/4/18 17:48,28.83,11
7/4/18 18:48,28.44,11
7/4/18 19:48,27.85,11
7/4/18 20:48,25.87,11
7/4/18 21:48,28.23,11
7/4/18 22:48,27.35,11
7/4/18 23:48,28.16,11
7/5/18 0:48,27.71,11
7/5/18 1:48,27.84,11
7/5/18 2:48,27.92,11
7/5/18 3:48,28.15,11
7/5/18 4:48,28.05,11
7/5/18 5:48,27.97,11
7/5/18 6:48,27.03,11
7/5/18 7:48,26.2,11
7/5/18 8:48,27.35,11
7/5/18 9:48,27.41,11
7/5/18 10:48,27.8,11
7/5/18 11:48,27.21,11
7/5/18 12:48,27.14,11
7/5/18 13:48,27.58,11
7/5/18 14:48,27.94,11
7/5/18 15:48,28.12,11
7/5/18 16:48,26.66,11
7/5/18 17:48,25.38,11
7/5/18 18:48,25.97,11
7/5/18 19:48,25.95,11
7/5/18 20:48,25.56,11
7/5/18 21:48,25.68,11
7/5/18 22:48,25.3,11
7/5/18 23:48,25.96,11
7/6/18 0:48,26.01,11
7/6/18 1:48,23.81,11
7/6/18 2:48,23.16,11
7/6/18 3:48,24.7,11
7/6/18 4:48,26.02,11
7/6/18 5:48,23.64,11
7/6/18 6:48,21.78,11
7/6/18 7:48,22.7,11
7/6/18 8:48,15.73,11
7/6/18 9:48,18.71,11
7/6/18 10:48,16.54,11
7/6/18 11:48,6.57,11
7/6/18 12:48,12.2,11
7/6/18 13:48,19.39,11
7/6/18 14:48,18.74,11
7/6/18 15:48,19.93,11
7/6/18 16:48,21.72,11
7/6/18 17:48,16.41,11
7/6/18 18:48,12.45,11
7/6/18 19:48,7.24,11
7/6/18 20:48,6.26,11
7/6/18 21:48,6.48,11
7/6/18 22:48,6.56,11
7/6/18 23:48,0.94,11
7/7/18 0:48,1.48,11
7/7/18 1:48,9.27,11
7/7/18 2:48,5.88,11
7/7/18 3:48,6.35,11
7/7/18 4:48,15.75,11
7/7/18 5:48,2.92,11
7/7/18 6:48,4.04,11
7/7/18 7:48,6.65,11
7/7/18 8:48,16.5,11
7/7/18 9:48,6.73,11
7/7/18 10:48,2.31,11
7/7/18 11:48,0.33,11
7/7/18 12:48,2.37,11
7/7/18 13:48,0.87,11
7/7/18 14:48,0.53,11
7/7/18 15:48,-100,11
7/7/18 16:48,4.58,11
7/7/18 17:48,-0.05,11
7/7/18 18:48,1.09,11
7/7/18 19:48,7.09,11
7/7/18 20:48,6.93,11
7/7/18 21:48,3.69,11
7/7/18 22:48,0.99,11
7/7/18 23:48,4.07,11
7/8/18 0:48,5.63,11
7/8/18 1:48,7.66,11
7/8/18 2:48,3.83,11
7/8/18 3:48,0.82,11
7/8/18 4:48,0.86,11
7/8/18 5:48,0.74,11
7/8/18 6:48,1.04,11
7/8/18 7:48,2.1,11
7/8/18 8:48,4.56,11
7/8/18 9:48,2.32,11
7/8/18 10:48,4.95,11
7/8/18 11:48,7.79,11
7/8/18 12:48,4.7,11
7/8/18 13:48,1.21,11
7/8/18 14:48,11.52,11
7/8/18 15:48,2.76,11
7/8/18 16:48,9.98,11
7/8/18 17:48,14.95,11
7/8/18 18:48,15.25,11
7/8/18 19:48,15.09,11
7/8/18 20:48,18.52,11
7/8/18 21:48,13.95,11
7/8/18 22:48,8,11
7/8/18 23:48,9.29,11
7/9/18 0:48,9.62,11
7/9/18 1:48,1.67,11
7/9/18 2:48,12.45,11
7/9/18 3:48,17.51,11
7/9/18 4:48,19.17,11
