time[YYYY-MM-DD hh:mm:ss PST], nitrate,depth
6/1/17 0:15,2.21,11
6/1/17 1:15,0.96,11
6/1/17 2:15,1.47,11
6/1/17 3:15,0.75,11
6/1/17 4:15,0.43,11
6/1/17 8:16,7,11
6/1/17 9:15,5.78,11
6/1/17 10:15,5.5,11
6/1/17 11:15,5.74,11
6/1/17 12:15,2.86,11
6/1/17 13:15,4.51,11
6/1/17 14:15,9.9,11
6/1/17 15:15,13.35,11
6/1/17 16:15,13.8,11
6/1/17 17:15,14.56,11
6/1/17 18:15,13.67,11
6/1/17 19:15,12.44,11
6/1/17 20:15,12.58,11
6/1/17 21:15,12.72,11
6/1/17 22:15,4.88,11
6/1/17 23:15,5.28,11
6/2/17 0:15,3.93,11
6/2/17 1:15,9.81,11
6/2/17 2:15,8.46,11
6/2/17 3:15,6.88,11
6/2/17 4:15,7.93,11
6/2/17 5:15,8.94,11
6/2/17 6:15,5.03,11
6/2/17 7:15,6.26,11
6/2/17 8:15,3.78,11
6/2/17 9:15,2.04,11
6/2/17 10:15,1.58,11
6/2/17 11:15,2.28,11
6/2/17 12:15,1.37,11
6/2/17 13:15,1.33,11
6/2/17 14:15,0.23,11
6/2/17 15:15,1.37,11
6/2/17 16:15,-0.01,11
6/2/17 17:15,-0.52,11
6/2/17 18:15,1.28,11
6/2/17 19:15,4.26,11
6/2/17 20:15,4.06,11
6/2/17 21:15,1.36,11
6/2/17 22:15,0.7,11
6/2/17 23:15,1.05,11
6/3/17 0:15,0.62,11
6/3/17 1:15,0.5,11
6/3/17 2:15,0.34,11
6/3/17 3:15,0.56,11
6/3/17 4:15,-0.13,11
6/3/17 5:15,3.85,11
6/3/17 6:15,7.83,11
6/3/17 7:15,6.57,11
6/3/17 8:15,2.51,11
6/3/17 9:15,0.2,11
6/3/17 10:15,-0.13,11
6/3/17 11:15,2.27,11
6/3/17 12:15,0.66,11
6/3/17 13:15,1.31,11
6/3/17 14:15,0.86,11
6/3/17 15:15,0.57,11
6/3/17 16:15,1.44,11
6/3/17 17:15,0.71,11
6/3/17 18:15,7.76,11
6/3/17 19:15,9.37,11
6/3/17 20:15,4.96,11
6/3/17 21:15,4.55,11
6/3/17 22:15,3.52,11
6/3/17 23:15,2.37,11
6/4/17 0:15,2.82,11
6/4/17 1:15,2.15,11
6/4/17 2:15,1.7,11
6/4/17 4:15,6.32,11
6/4/17 5:15,7.45,11
6/4/17 6:15,10.02,11
6/4/17 7:15,12.01,11
6/4/17 8:15,10.14,11
6/4/17 9:15,9.48,11
6/4/17 10:15,6.31,11
6/4/17 11:15,0.19,11
6/4/17 12:15,3.43,11
6/4/17 13:15,8.37,11
6/4/17 14:15,9.52,11
6/4/17 15:15,9.16,11
6/4/17 16:15,11.83,11
6/4/17 17:15,10.06,11
6/4/17 18:15,9.79,11
6/4/17 19:15,9.73,11
6/4/17 20:15,8.96,11
6/4/17 21:15,9.7,11
6/4/17 22:15,6.63,11
6/4/17 23:15,6.47,11
6/5/17 0:15,9.01,11
6/5/17 1:15,11,11
6/5/17 2:15,11.45,11
6/5/17 3:15,11.47,11
6/5/17 4:15,12.1,11
6/5/17 5:15,12.16,11
6/5/17 6:15,13.18,11
6/5/17 7:15,12.49,11
6/5/17 8:15,12.01,11
6/5/17 9:15,12.34,11
6/5/17 10:15,12.15,11
6/5/17 11:15,13.3,11
6/5/17 12:15,8.49,11
6/5/17 13:15,11.08,11
6/5/17 14:15,14.62,11
6/5/17 15:15,15.3,11
6/5/17 16:15,15.09,11
6/5/17 17:15,15.1,11
6/5/17 18:15,16.17,11
6/5/17 19:15,14.33,11
6/5/17 20:15,14.05,11
6/5/17 21:15,13.18,11
6/5/17 22:15,11.35,11
6/5/17 23:15,10.6,11
6/6/17 0:15,9.37,11
6/6/17 1:15,11.16,11
6/6/17 2:15,11.62,11
6/6/17 3:15,15.35,11
6/6/17 4:15,17.36,11
6/6/17 5:15,12.28,11
6/6/17 6:15,17.36,11
6/6/17 7:15,17.19,11
6/6/17 8:15,17.32,11
6/6/17 9:15,16.79,11
6/6/17 10:15,14.12,11
6/6/17 11:15,15.7,11
6/6/17 12:15,13.34,11
6/6/17 13:15,7.55,11
6/6/17 14:15,14.32,11
6/6/17 15:15,16.73,11
6/6/17 16:15,17.33,11
6/6/17 17:15,16.87,11
6/6/17 18:15,16.77,11
6/6/17 19:15,17.71,11
6/6/17 20:15,17.89,11
6/6/17 21:15,19.37,11
