time[YYYY-MM-DD hh:mm:ss PST], nitrate,depth
6/1/17 0:49,21.05,35
6/1/17 1:49,21.26,35
6/1/17 2:49,21.22,35
6/1/17 3:49,21.31,35
6/1/17 4:49,21.85,35
6/1/17 5:49,21.89,35
6/1/17 7:50,21.82,35
6/1/17 8:49,21.64,35
6/1/17 9:49,21.11,35
6/1/17 10:49,20.85,35
6/1/17 11:49,20.63,35
6/1/17 12:49,20.13,35
6/1/17 13:49,19.35,35
6/1/17 14:49,18.64,35
6/1/17 15:49,19.44,35
6/1/17 16:49,20.5,35
6/1/17 17:49,19.95,35
6/1/17 18:49,19.94,35
6/1/17 19:49,19.99,35
6/1/17 20:49,20.05,35
6/1/17 21:49,19.33,35
6/1/17 22:49,18.2,35
6/1/17 23:49,17.93,35
6/2/17 0:49,15.59,35
6/2/17 1:49,16.95,35
6/2/17 2:49,16.31,35
6/2/17 3:49,16.38,35
6/2/17 4:49,17.02,35
6/2/17 5:49,16.61,35
6/2/17 6:49,16.82,35
6/2/17 7:49,17.07,35
6/2/17 9:49,15.76,35
6/2/17 10:49,15.29,35
6/2/17 11:49,16.05,35
6/2/17 12:49,17.46,35
6/2/17 13:49,18.04,35
6/2/17 14:49,16.73,35
6/2/17 15:49,16.47,35
6/2/17 16:49,17.25,35
6/2/17 17:49,18.15,35
6/2/17 18:49,19.93,35
6/2/17 19:49,20.19,35
6/2/17 20:49,19.96,35
6/2/17 21:49,18.09,35
6/2/17 22:49,16.09,35
6/2/17 23:49,13.06,35
6/3/17 0:49,11.45,35
6/3/17 1:49,11.35,35
6/3/17 2:49,12.29,35
6/3/17 3:49,17.15,35
6/3/17 4:49,18.73,35
6/3/17 5:49,20.48,35
6/3/17 6:49,21.73,35
6/3/17 7:49,21.55,35
6/3/17 8:49,20.04,35
6/3/17 9:49,18.84,35
6/3/17 10:49,17.25,35
6/3/17 11:49,15.67,35
6/3/17 12:49,15.08,35
6/3/17 13:49,12.93,35
6/3/17 14:49,12.33,35
6/3/17 15:49,16.4,35
6/3/17 16:49,15.58,35
6/3/17 17:49,17.09,35
6/3/17 18:49,21.22,35
6/3/17 19:49,22.26,35
6/3/17 20:49,20.24,35
6/3/17 21:49,19.01,35
6/3/17 22:49,16.9,35
6/3/17 23:49,17.75,35
6/4/17 2:49,16.13,35
6/4/17 3:49,16.33,35
6/4/17 4:49,17.69,35
6/4/17 5:49,17.65,35
6/4/17 6:49,19.3,35
6/4/17 7:49,20.1,35
6/4/17 8:49,20.88,35
6/4/17 9:49,19.87,35
6/4/17 10:49,18.06,35
6/4/17 11:49,13.04,35
6/4/17 12:49,14.72,35
6/4/17 13:49,17.25,35
6/4/17 14:49,18.09,35
6/4/17 15:49,18.51,35
6/4/17 16:49,18.02,35
6/4/17 17:49,17.69,35
6/4/17 18:49,17.96,35
6/4/17 19:49,18.19,35
6/4/17 20:49,18.48,35
6/4/17 21:49,17.74,35
6/4/17 22:49,17.48,35
6/5/17 0:49,17.94,35
6/5/17 1:49,18.52,35
6/5/17 2:49,19.36,35
6/5/17 3:49,23.19,35
6/5/17 4:49,23.38,35
6/5/17 5:49,22.86,35
6/5/17 6:49,22.53,35
6/5/17 7:49,22.71,35
6/5/17 8:49,22.48,35
6/5/17 9:49,21.67,35
6/5/17 10:49,20.25,35
6/5/17 11:49,18.98,35
6/5/17 12:49,17.65,35
6/5/17 13:49,18.25,35
6/5/17 14:49,19.81,35
6/5/17 15:49,22.37,35
6/5/17 16:49,23.58,35
6/5/17 17:49,24.35,35
6/5/17 18:49,23.48,35
6/5/17 19:49,23.88,35
6/5/17 20:49,23.07,35
6/5/17 21:49,22.98,35
6/5/17 22:49,23.42,35
6/5/17 23:49,22.93,35
6/6/17 0:49,23.18,35
6/6/17 1:49,23.81,35
6/6/17 2:49,24.12,35
6/6/17 3:49,23.6,35
6/6/17 4:49,25.27,35
6/6/17 5:49,25.78,35
6/6/17 6:49,25.08,35
6/6/17 7:49,26.02,35
6/6/17 8:49,26.08,35
6/6/17 9:49,25.18,35
6/6/17 10:49,25.35,35
6/6/17 11:49,24.82,35
6/6/17 12:49,23.28,35
6/6/17 13:49,23.53,35
6/6/17 14:49,23.66,35
6/6/17 15:49,23.4,35
6/6/17 16:49,23.54,35
6/6/17 17:49,24.15,35
6/6/17 18:49,24.56,35
6/6/17 19:49,24.63,35
6/6/17 20:49,24.78,35
6/6/17 21:49,25.33,35
6/6/17 22:49,25.56,35
6/6/17 23:49,25.54,35
6/7/17 0:49,24.89,35
6/7/17 1:49,24.63,35
