time[YYYY-MM-DD hh:mm:ss PST], water_temperature,depth
6/14/18 13:16,8.845,35
6/14/18 13:18,8.846,35
6/14/18 13:20,8.844,35
6/14/18 13:22,8.843,35
6/14/18 13:24,8.838,35
6/14/18 13:26,8.84,35
6/14/18 13:28,8.854,35
6/14/18 13:30,8.829,35
6/14/18 13:32,8.83,35
6/14/18 13:34,8.833,35
6/14/18 13:36,8.807,35
6/14/18 13:38,8.822,35
6/14/18 13:40,8.84,35
6/14/18 13:42,8.849,35
6/14/18 13:44,8.841,35
6/14/18 13:46,8.839,35
6/14/18 13:48,8.841,35
6/14/18 13:50,8.845,35
6/14/18 13:52,8.849,35
6/14/18 13:54,8.851,35
6/14/18 13:56,8.848,35
6/14/18 13:58,8.847,35
6/14/18 14:00,8.849,35
6/14/18 14:02,8.849,35
6/14/18 14:04,8.852,35
6/14/18 14:06,8.855,35
6/14/18 14:08,8.856,35
6/14/18 14:10,8.856,35
6/14/18 14:12,8.853,35
6/14/18 14:14,8.855,35
6/14/18 14:16,8.853,35
6/14/18 14:18,8.865,35
6/14/18 14:20,8.862,35
6/14/18 14:22,8.861,35
6/14/18 14:24,8.862,35
6/14/18 14:26,8.863,35
6/14/18 14:28,8.862,35
6/14/18 14:30,8.864,35
6/14/18 14:32,8.866,35
6/14/18 14:34,8.866,35
6/14/18 14:36,8.893,35
6/14/18 14:38,8.88,35
6/14/18 14:40,8.871,35
6/14/18 14:42,8.874,35
6/14/18 14:44,8.875,35
6/14/18 14:46,8.88,35
6/14/18 14:48,8.887,35
6/14/18 14:50,8.888,35
6/14/18 14:52,8.88,35
6/14/18 14:54,8.884,35
6/14/18 14:56,8.891,35
6/14/18 14:58,8.892,35
6/14/18 15:00,8.91,35
6/14/18 15:02,8.9,35
6/14/18 15:04,8.902,35
6/14/18 15:06,8.913,35
6/14/18 15:08,8.915,35
6/14/18 15:10,8.911,35
6/14/18 15:12,8.915,35
6/14/18 15:14,8.916,35
6/14/18 15:16,8.917,35
6/14/18 15:18,8.918,35
6/14/18 15:20,8.918,35
6/14/18 15:22,8.918,35
6/14/18 15:24,8.918,35
6/14/18 15:26,8.916,35
6/14/18 15:28,8.919,35
6/14/18 15:30,8.916,35
6/14/18 15:32,8.919,35
6/14/18 15:34,8.918,35
6/14/18 15:36,8.917,35
6/14/18 15:38,8.919,35
6/14/18 15:40,8.918,35
6/14/18 15:42,8.921,35
6/14/18 15:44,8.92,35
6/14/18 15:46,8.924,35
6/14/18 15:48,8.92,35
6/14/18 15:50,8.92,35
6/14/18 15:52,8.92,35
6/14/18 15:54,8.921,35
6/14/18 15:56,8.92,35
6/14/18 15:58,8.919,35
6/14/18 16:00,8.911,35
6/14/18 16:02,8.911,35
6/14/18 16:04,8.916,35
6/14/18 16:06,8.912,35
6/14/18 16:08,8.912,35
6/14/18 16:10,8.911,35
6/14/18 16:12,8.911,35
6/14/18 16:14,8.909,35
6/14/18 16:16,8.909,35
6/14/18 16:18,8.909,35
6/14/18 16:20,8.897,35
6/14/18 16:22,8.91,35
6/14/18 16:24,8.911,35
6/14/18 16:26,8.905,35
6/14/18 16:28,8.901,35
6/14/18 16:30,8.898,35
6/14/18 16:32,8.9,35
6/14/18 16:34,8.88,35
6/14/18 16:36,8.902,35
6/14/18 16:38,8.893,35
6/14/18 16:40,8.892,35
6/14/18 16:42,8.918,35
6/14/18 16:44,8.914,35
6/14/18 16:46,8.909,35
6/14/18 16:48,8.9,35
6/14/18 16:50,8.912,35
6/14/18 16:52,8.908,35
6/14/18 16:54,8.906,35
6/14/18 16:56,8.909,35
6/14/18 16:58,8.903,35
6/14/18 17:00,8.901,35
6/14/18 17:02,8.891,35
6/14/18 17:04,8.901,35
6/14/18 17:06,8.899,35
6/14/18 17:08,8.905,35
6/14/18 17:10,8.885,35
6/14/18 17:12,8.859,35
6/14/18 17:14,8.816,35
6/14/18 17:16,8.814,35
6/14/18 17:18,8.814,35
6/14/18 17:20,8.828,35
6/14/18 17:22,8.813,35
6/14/18 17:24,8.81,35
6/14/18 17:26,8.796,35
6/14/18 17:28,8.794,35
6/14/18 17:30,8.782,35
6/14/18 17:32,8.778,35
6/14/18 17:34,8.776,35
6/14/18 17:36,8.787,35
6/14/18 17:38,8.777,35
6/14/18 17:40,8.776,35
6/14/18 17:42,8.772,35
6/14/18 17:44,8.767,35
6/14/18 17:46,8.75,35
6/14/18 17:48,8.76,35
6/14/18 17:50,8.751,35
6/14/18 17:52,8.748,35
6/14/18 17:54,8.739,35
6/14/18 17:56,8.735,35
6/14/18 17:58,8.712,35
6/14/18 18:00,8.715,35
6/14/18 18:02,8.714,35
6/14/18 18:04,8.718,35
6/14/18 18:06,8.719,35
6/14/18 18:08,8.718,35
6/14/18 18:10,8.714,35
6/14/18 18:12,8.713,35
6/14/18 18:14,8.704,35
6/14/18 18:16,8.712,35
6/14/18 18:18,8.709,35
6/14/18 18:20,8.702,35
6/14/18 18:22,8.688,35
6/14/18 18:24,8.694,35
6/14/18 18:26,8.695,35
6/14/18 18:28,8.674,35
6/14/18 18:30,8.664,35
6/14/18 18:32,8.672,35
6/14/18 18:34,8.68,35
6/14/18 18:36,8.683,35
6/14/18 18:38,8.676,35
6/14/18 18:40,8.678,35
6/14/18 18:42,8.662,35
6/14/18 18:44,8.67,35
6/14/18 18:46,8.659,35
6/14/18 18:48,8.659,35
6/14/18 18:50,8.649,35
6/14/18 18:52,8.649,35
6/14/18 18:54,8.648,35
6/14/18 18:56,8.644,35
6/14/18 18:58,8.646,35
6/14/18 19:00,8.653,35
6/14/18 19:02,8.654,35
6/14/18 19:04,8.656,35
6/14/18 19:06,8.664,35
6/14/18 19:08,8.656,35
6/14/18 19:10,8.646,35
6/14/18 19:12,8.643,35
6/14/18 19:14,8.643,35
6/14/18 19:16,8.655,35
6/14/18 19:18,8.599,35
6/14/18 19:20,8.635,35
6/14/18 19:22,8.649,35
6/14/18 19:24,8.604,35
6/14/18 19:26,8.633,35
6/14/18 19:28,8.64,35
6/14/18 19:30,8.604,35
6/14/18 19:32,8.609,35
6/14/18 19:34,8.6,35
6/14/18 19:36,8.598,35
6/14/18 19:38,8.599,35
6/14/18 19:40,8.599,35
6/14/18 19:42,8.599,35
6/14/18 19:44,8.6,35
6/14/18 19:46,8.599,35
6/14/18 19:48,8.602,35
6/14/18 19:50,8.6,35
6/14/18 19:52,8.599,35
6/14/18 19:54,8.605,35
6/14/18 19:56,8.602,35
6/14/18 19:58,8.6,35
6/14/18 20:00,8.601,35
6/14/18 20:02,8.614,35
6/14/18 20:04,8.602,35
6/14/18 20:06,8.603,35
6/14/18 20:08,8.603,35
6/14/18 20:10,8.606,35
6/14/18 20:12,8.602,35
6/14/18 20:14,8.603,35
6/14/18 20:16,8.603,35
6/14/18 20:18,8.604,35
6/14/18 20:20,8.605,35
6/14/18 20:22,8.604,35
6/14/18 20:24,8.614,35
6/14/18 20:26,8.615,35
6/14/18 20:28,8.619,35
6/14/18 20:30,8.623,35
6/14/18 20:32,8.608,35
6/14/18 20:34,8.615,35
6/14/18 20:36,8.613,35
6/14/18 20:38,8.625,35
6/14/18 20:40,8.628,35
6/14/18 20:42,8.632,35
6/14/18 20:44,8.623,35
6/14/18 20:46,8.622,35
6/14/18 20:48,8.628,35
6/14/18 20:50,8.632,35
6/14/18 20:52,8.636,35
6/14/18 20:54,8.637,35
6/14/18 20:56,8.632,35
6/14/18 20:58,8.631,35
6/14/18 21:00,8.627,35
6/14/18 21:02,8.625,35
6/14/18 21:04,8.63,35
6/14/18 21:06,8.631,35
6/14/18 21:08,8.63,35
6/14/18 21:10,8.634,35
6/14/18 21:12,8.642,35
6/14/18 21:14,8.631,35
6/14/18 21:16,8.649,35
6/14/18 21:18,8.632,35
6/14/18 21:20,8.631,35
6/14/18 21:22,8.646,35
6/14/18 21:24,8.657,35
6/14/18 21:26,8.652,35
6/14/18 21:28,8.65,35
6/14/18 21:30,8.65,35
6/14/18 21:32,8.653,35
6/14/18 21:34,8.658,35
6/14/18 21:36,8.658,35
6/14/18 21:38,8.653,35
6/14/18 21:40,8.659,35
6/14/18 21:42,8.656,35
6/14/18 21:44,8.641,35
6/14/18 21:46,8.641,35
6/14/18 21:48,8.645,35
6/14/18 21:50,8.66,35
6/14/18 21:52,8.645,35
6/14/18 21:54,8.646,35
6/14/18 21:56,8.652,35
6/14/18 21:58,8.65,35
6/14/18 22:00,8.655,35
6/14/18 22:02,8.649,35
6/14/18 22:04,8.66,35
6/14/18 22:06,8.661,35
6/14/18 22:08,8.662,35
6/14/18 22:10,8.646,35
6/14/18 22:12,8.653,35
6/14/18 22:14,8.663,35
6/14/18 22:16,8.665,35
6/14/18 22:18,8.658,35
6/14/18 22:20,8.698,35
6/14/18 22:22,8.692,35
6/14/18 22:24,8.72,35
6/14/18 22:26,8.715,35
6/14/18 22:28,8.683,35
6/14/18 22:30,8.703,35
6/14/18 22:32,8.721,35
6/14/18 22:34,8.743,35
6/14/18 22:36,8.72,35
6/14/18 22:38,8.681,35
6/14/18 22:40,8.693,35
6/14/18 22:42,8.686,35
6/14/18 22:44,8.716,35
6/14/18 22:46,8.715,35
6/14/18 22:48,8.716,35
6/14/18 22:50,8.72,35
6/14/18 22:52,8.697,35
6/14/18 22:54,8.715,35
6/14/18 22:56,8.693,35
6/14/18 22:58,8.719,35
6/14/18 23:00,8.704,35
6/14/18 23:02,8.715,35
6/14/18 23:04,8.703,35
6/14/18 23:06,8.697,35
6/14/18 23:08,8.718,35
6/14/18 23:10,8.696,35
6/14/18 23:12,8.72,35
6/14/18 23:14,8.721,35
6/14/18 23:16,8.722,35
6/14/18 23:18,8.732,35
6/14/18 23:20,8.721,35
6/14/18 23:22,8.741,35
6/14/18 23:24,8.72,35
6/14/18 23:26,8.715,35
6/14/18 23:28,8.712,35
6/14/18 23:30,8.718,35
6/14/18 23:32,8.71,35
6/14/18 23:34,8.714,35
6/14/18 23:36,8.715,35
6/14/18 23:38,8.716,35
6/14/18 23:40,8.716,35
6/14/18 23:42,8.716,35
6/14/18 23:44,8.715,35
6/14/18 23:46,8.714,35
6/14/18 23:48,8.718,35
6/14/18 23:50,8.715,35
6/14/18 23:52,8.717,35
6/14/18 23:54,8.721,35
6/14/18 23:56,8.722,35
