time[YYYY-MM-DD hh:mm:ss PST], nitrate,depth
6/1/17 0:57,3.27,1
6/1/17 1:57,1.08,1
6/1/17 2:57,1.11,1
6/1/17 5:57,2.1,1
6/1/17 7:57,3.43,1
6/1/17 8:57,3.86,1
6/1/17 9:57,3.63,1
6/1/17 10:57,3.45,1
6/1/17 11:57,3.4,1
6/1/17 12:57,3.27,1
6/1/17 13:57,3.34,1
6/1/17 14:57,3.78,1
6/1/17 15:57,3.68,1
6/1/17 16:57,5.62,1
6/1/17 17:57,3.98,1
6/1/17 18:57,3.8,1
6/1/17 19:57,3.35,1
6/1/17 20:57,3,1
6/1/17 21:57,4.54,1
6/1/17 22:57,2.83,1
6/1/17 23:57,2.39,1
6/2/17 0:57,3.5,1
6/2/17 1:57,3.92,1
6/2/17 2:57,4.19,1
6/2/17 3:57,4.2,1
6/2/17 4:57,3.15,1
6/2/17 5:57,2.67,1
6/2/17 6:57,3.33,1
6/2/17 7:57,3.39,1
6/2/17 8:57,2.93,1
6/2/17 9:57,2.22,1
6/2/17 10:57,1.61,1
6/2/17 11:57,1.29,1
6/2/17 12:57,1.08,1
6/2/17 13:57,0.97,1
6/2/17 14:57,0.91,1
6/2/17 15:57,0.83,1
6/2/17 16:57,0.36,1
6/2/17 17:57,-0.17,1
6/2/17 18:57,-0.05,1
6/2/17 19:57,0.43,1
6/2/17 20:57,0.85,1
6/2/17 21:57,0.46,1
6/2/17 22:57,0.99,1
6/2/17 23:57,0.74,1
6/3/17 0:57,0.27,1
6/3/17 1:57,0.08,1
6/3/17 2:57,0.05,1
6/3/17 3:57,0,1
6/3/17 4:57,0.64,1
6/3/17 5:57,1.02,1
6/3/17 6:57,0.89,1
6/3/17 7:57,0.26,1
6/3/17 8:57,0.24,1
6/3/17 9:57,-0.24,1
6/3/17 10:57,0.02,1
6/3/17 11:57,1.15,1
6/3/17 12:57,0.97,1
6/3/17 13:57,1.97,1
6/3/17 14:57,0.61,1
6/3/17 15:57,2.31,1
6/3/17 16:57,2.86,1
6/3/17 17:57,2.57,1
6/3/17 18:57,2.62,1
6/3/17 19:57,2.75,1
6/3/17 20:57,5.27,1
6/3/17 21:57,4.71,1
6/3/17 22:57,4.67,1
6/3/17 23:57,3.9,1
6/4/17 0:57,2.93,1
6/4/17 1:57,2.51,1
6/4/17 3:57,4.31,1
6/4/17 4:57,5.15,1
6/4/17 5:57,4.57,1
6/4/17 6:57,4.3,1
6/4/17 7:57,4.59,1
6/4/17 8:57,6.96,1
6/4/17 9:57,4.88,1
6/4/17 10:57,2.9,1
6/4/17 11:57,2.48,1
6/4/17 12:57,4.84,1
6/4/17 13:57,6.11,1
6/4/17 14:57,6.58,1
6/4/17 15:57,5.9,1
6/4/17 16:57,3.52,1
6/4/17 17:57,4.84,1
6/4/17 18:57,4.66,1
6/4/17 19:57,5.03,1
6/4/17 20:57,7.27,1
6/4/17 21:57,7.64,1
6/4/17 22:57,5.09,1
6/4/17 23:57,4.89,1
6/5/17 0:57,5.58,1
6/5/17 2:57,4.07,1
6/5/17 3:57,4.79,1
6/5/17 4:57,4.73,1
6/5/17 5:57,6.72,1
6/5/17 6:57,3.19,1
6/5/17 7:57,5.14,1
6/5/17 8:57,5.79,1
6/5/17 9:57,5.87,1
6/5/17 10:57,7.22,1
6/5/17 11:57,7.39,1
6/5/17 12:57,3.26,1
6/5/17 13:57,4.14,1
6/5/17 14:57,7.95,1
6/5/17 15:57,9.31,1
6/5/17 16:57,8.35,1
6/5/17 17:57,9.27,1
6/5/17 18:57,9.22,1
6/5/17 19:57,10.28,1
6/5/17 20:57,10.82,1
6/5/17 21:57,10.08,1
6/5/17 22:57,10.03,1
6/5/17 23:57,8.66,1
6/6/17 0:57,5.96,1
6/6/17 1:57,6.13,1
6/6/17 2:57,5.58,1
6/6/17 3:57,5.14,1
6/6/17 4:57,5.21,1
6/6/17 5:57,4.43,1
6/6/17 6:57,5.02,1
6/6/17 7:57,5.11,1
6/6/17 8:57,4.49,1
6/6/17 9:57,3,1
6/6/17 10:57,5.84,1
6/6/17 11:57,8.07,1
6/6/17 12:57,4.92,1
6/6/17 13:57,5,1
6/6/17 14:57,5.85,1
6/6/17 15:57,7.2,1
6/6/17 16:57,7.58,1
6/6/17 17:57,4.46,1
6/6/17 18:57,5.71,1
6/6/17 19:57,3.8,1
6/6/17 20:57,3.96,1
6/6/17 21:57,3.95,1
6/6/17 22:57,6.1,1
6/6/17 23:57,6.78,1
6/7/17 0:57,7.78,1
6/7/17 1:57,7.22,1
6/7/17 2:57,6.3,1
6/7/17 3:57,6.11,1
6/7/17 5:57,6.69,1
6/7/17 6:57,6.23,1
6/7/17 7:57,5.9,1
6/7/17 8:57,5.24,1
6/7/17 9:57,5.6,1
6/7/17 10:57,6.25,1
6/7/17 11:57,5.5,1
6/7/17 12:57,5.91,1
6/7/17 13:57,5.24,1
6/7/17 14:57,5.33,1
6/7/17 15:57,3.96,1
6/7/17 16:57,6.36,1
6/7/17 17:57,6.05,1
6/7/17 18:57,5.68,1
6/7/17 19:57,5.52,1
6/7/17 20:57,8.35,1
6/7/17 21:57,7.33,1
6/7/17 22:57,8.45,1
6/7/17 23:57,7.46,1
6/8/17 0:57,6.99,1
6/8/17 1:57,6.62,1
6/8/17 2:57,7.44,1
6/8/17 3:57,8.33,1
6/8/17 4:57,5.36,1
6/8/17 5:57,6.72,1
6/8/17 6:57,5.5,1
6/8/17 7:57,5.57,1
6/8/17 8:57,5.2,1
6/8/17 10:57,2.06,1
6/8/17 11:57,2.16,1
6/8/17 12:57,1.89,1
6/8/17 13:57,1.26,1
6/8/17 14:57,1.2,1
6/8/17 15:57,1.06,1
6/8/17 16:57,1.24,1
6/8/17 17:57,1.25,1
6/8/17 18:57,1.16,1
6/8/17 19:57,1.15,1
6/8/17 20:57,1.21,1
6/8/17 21:57,1.86,1
6/8/17 22:57,4.18,1
6/8/17 23:57,2.8,1
6/9/17 0:57,2.91,1
6/9/17 1:57,2.85,1
6/9/17 2:57,1.88,1
6/9/17 3:57,2.12,1
6/9/17 4:57,2.33,1
6/9/17 5:57,2.51,1
6/9/17 6:57,2.63,1
6/9/17 7:57,1.99,1
6/9/17 8:57,2.76,1
6/9/17 9:57,2.24,1
6/9/17 10:57,2.34,1
6/9/17 11:57,2.53,1
